nombre	smass	file
Daphne	Ch	a000041.sp70.txt
Harmonia	S	a000040.sp32.txt
Laetitia	S	a000039.sp92.txt
Leda	Cgh	a000038.sp100.txt
Fides	S	a000037.sp94.txt
Circe	Ch	a000034.sp28.txt
Pomona	S	a000032.sp76.txt
Urania	Sl	a000030.sp92.txt
Amphitrite	S	a000029.sp92.txt
Euterpe	S	a000027.sp31.txt
Proserpina	S	a000026.sp92.txt
Phocaea	S	a000025.sp94.txt
Themis	B	a000024.sp45.txt
Thalia	S	a000023.sp96.txt
Kalliope	X	a000022.sp55.txt
Lutetia	Xk	a000021.sp31.txt
Massalia	S	a000020.sp96.txt
Fortuna	Ch	a000019.sp48.txt
Thetis	Sl	a000017.sp96.txt
Psyche	X	a000016.sp58.txt
Eunomia	S	a000015.sp28.txt
Irene	S	a000014.sp25.txt
Egeria	Ch	a000013.sp41.txt
Parthenope	Sk	a000011.sp47.txt
Iris	S	a000007.sp28.txt
Hebe	S	a000006.sp67.txt
Astraea	S	a000005.sp28.txt
Vesta	V	a000004.sp86.txt
Juno	Sk	a000003.sp96.txt
Pallas	B	a000002.sp89.txt
Ceres	C	a000001.sp41.txt
