shp_code,departure,city_from,city_to,country_from,country_to,cost_per_kg,gross_weight,carrier_charge,mode,carrier,duration
SHP331572,2019-03-10 11:33:33,Rotterdam,Kuala Lumpur,NL,MY,93.66,440.0,0.9,Ocean,Neele-Vat Logistics,19.17743
SHP704606,2020-03-16 17:16:07,Rotterdam,Kuala Lumpur,NL,MY,95.5077,1107.0,1.05,Air,Van den Bosch Transporten,5.1515
SHP898597,2019-08-22 18:42:25,Rotterdam,Kuala Lumpur,NL,MY,84.75,1500.0,0.9,Ocean,Neele-Vat Logistics,12.15567
SHP421575,2019-03-28 14:32:58,Rotterdam,Kuala Lumpur,NL,MY,90.91,675.0,0.75,Air,NTG Air & Ocean,5.19954
SHP807587,2019-06-16 19:22:14,Rotterdam,Kuala Lumpur,NL,MY,87.55,2008.0,1.05,Air,Van den Bosch Transporten,5.04606
SHP367604,2019-10-30 23:02:58,Rotterdam,Kuala Lumpur,NL,MY,91.46,275.0,0.9,Ocean,Neele-Vat Logistics,13.96505
SHP666573,2019-03-15 22:42:13,Rotterdam,Kuala Lumpur,NL,MY,92.04514324,1170.0,1.05,Air,Van den Bosch Transporten,5.06435
SHP950605,2020-01-14 23:02:45,Rotterdam,Kuala Lumpur,NL,MY,93.14323058,400.0,1.05,Air,Van den Bosch Transporten,5.09769
SHP58606,2020-01-20 13:27:40,Rotterdam,Kuala Lumpur,NL,MY,91.49,28.0,0.75,Air,NTG Air & Ocean,5.32049
SHP393584,2019-05-24 12:29:50,Rotterdam,Kuala Lumpur,NL,MY,90.6,1506.0,0.9,Ocean,Neele-Vat Logistics,19.56829
SHP28580,2019-04-27 09:14:30,Rotterdam,Kuala Lumpur,NL,MY,90.56,1006.0,1.05,Air,Van den Bosch Transporten,5.125
SHP994596,2019-08-17 12:05:51,Rotterdam,Kuala Lumpur,NL,MY,85.65,356.0,0.9,Ocean,Neele-Vat Logistics,29.401740000000004
SHP698577,2019-04-13 10:47:20,Rotterdam,Kuala Lumpur,NL,MY,89.75,285.0,0.9,Ocean,Neele-Vat Logistics,8.85648
SHP429591,2019-07-13 00:12:07,Rotterdam,Kuala Lumpur,NL,MY,86.65,814.0,0.9,Ocean,Neele-Vat Logistics,14.44525
SHP85607,2020-04-27 13:15:30,Rotterdam,Kuala Lumpur,NL,MY,94.85,435.0,1.05,Air,Van den Bosch Transporten,5.0397
SHP139604,2019-10-21 14:22:16,Rotterdam,Kuala Lumpur,NL,MY,88.93,281.03,0.75,Air,NTG Air & Ocean,5.09178
SHP585580,2019-05-03 12:04:51,Rotterdam,Kuala Lumpur,NL,MY,90.61,605.0,0.75,Air,NTG Air & Ocean,5.07523
SHP581606,2020-03-09 11:30:00,Rotterdam,Kuala Lumpur,NL,MY,92.22,79.5,0.75,Air,NTG Air & Ocean,5.25278
SHP37593,2019-07-23 10:45:08,Rotterdam,Kuala Lumpur,NL,MY,85.85,475.0,0.9,Ocean,Neele-Vat Logistics,8.8412
SHP6065994,2019-05-06 17:38:32,Rotterdam,Manila,NL,PH,109.96,158.0,1.125,Ocean,Neele-Vat Logistics,43.69259
SHP621606,2020-03-13 01:31:15,Rotterdam,Kuala Lumpur,NL,MY,92.76,103.5,1.05,Air,Van den Bosch Transporten,5.31435
SHP343604,2019-10-29 10:58:33,Rotterdam,Kuala Lumpur,NL,MY,91.46,366.0,0.9,Ocean,Neele-Vat Logistics,8.93437
SHP434575,2019-03-28 15:09:09,Rotterdam,Kuala Lumpur,NL,MY,90.5,125.0,0.75,Air,NTG Air & Ocean,5.28241
SHP627603,2019-09-28 01:05:40,Rotterdam,Kuala Lumpur,NL,MY,89.25,1520.0,0.9,Ocean,Neele-Vat Logistics,34.81713
SHP324597,2019-08-19 10:53:59,Rotterdam,Kuala Lumpur,NL,MY,84.65700000000002,295.31,0.9,Ocean,Neele-Vat Logistics,8.90255
SHP314586,2019-06-08 13:49:59,Rotterdam,Kuala Lumpur,NL,MY,87.7753,1146.0,0.9,Ocean,Neele-Vat Logistics,10.12488
SHP7603015,2020-04-10 11:39:57,Rotterdam,Manila,NL,PH,104.4,304.0,0.5625,Ocean,Van den Bosch Transporten,6.17928
SHP50596,2019-08-12 22:17:51,Rotterdam,Kuala Lumpur,NL,MY,83.61,599.0,0.9,Ocean,Neele-Vat Logistics,13.65174
SHP899597,2019-08-22 19:42:40,Rotterdam,Kuala Lumpur,NL,MY,85.1,1506.0,0.9,Ocean,Neele-Vat Logistics,22.574070000000003
SHP360605,2019-12-16 23:20:06,Rotterdam,Kuala Lumpur,NL,MY,93.86,112.0,0.75,Air,NTG Air & Ocean,5.3963
SHP405583,2019-05-19 01:05:06,Rotterdam,Kuala Lumpur,NL,MY,90.18345019,60.5,0.75,Air,NTG Air & Ocean,5.01667
SHP386594,2019-08-02 07:54:44,Rotterdam,Kuala Lumpur,NL,MY,85.75,3520.0,0.9,Ocean,Neele-Vat Logistics,7.65787
SHP185605,2019-12-10 16:16:11,Rotterdam,Kuala Lumpur,NL,MY,92.45,2258.0,0.9,Ocean,Neele-Vat Logistics,11.14016
SHP811605,2020-01-08 12:33:11,Rotterdam,Kuala Lumpur,NL,MY,93.15,548.0,0.9,Ocean,Neele-Vat Logistics,19.59155
SHP258602,2019-09-18 23:19:39,Rotterdam,Kuala Lumpur,NL,MY,87.65,233.2,0.9,Ocean,Neele-Vat Logistics,34.0809
SHP407604,2019-11-01 11:25:23,Rotterdam,Kuala Lumpur,NL,MY,91.51,300.0,0.75,Air,NTG Air & Ocean,5.238659999999999
SHP4476008,2019-12-14 16:30:52,Rotterdam,Manila,NL,PH,112.4,200.0,0.5625,Ocean,Van den Bosch Transporten,52.42697
SHP528575,2019-03-29 12:04:33,Rotterdam,Kuala Lumpur,NL,MY,90.85,3008.0,0.9,Ocean,Neele-Vat Logistics,19.39271
SHP747580,2019-05-04 12:17:28,Rotterdam,Kuala Lumpur,NL,MY,89.8,1481.0,0.9,Ocean,Neele-Vat Logistics,9.48241
SHP607583,2019-05-19 21:35:37,Rotterdam,Kuala Lumpur,NL,MY,90.93,505.0,0.75,Air,NTG Air & Ocean,5.15116
SHP962606,2020-04-18 11:50:16,Rotterdam,Kuala Lumpur,NL,MY,92.2,275.0,1.05,Air,Van den Bosch Transporten,5.25359
SHP575604,2019-11-10 14:04:53,Rotterdam,Kuala Lumpur,NL,MY,91.11,200.0,0.75,Air,NTG Air & Ocean,5.1256900000000005
SHP914604,2019-11-25 08:35:04,Rotterdam,Kuala Lumpur,NL,MY,92.02,1106.0,0.9,Ocean,Neele-Vat Logistics,7.93796
SHP74604,2019-10-18 11:19:25,Rotterdam,Kuala Lumpur,NL,MY,86.9,205.0,1.05,Air,Van den Bosch Transporten,5.13414
SHP137602,2019-09-17 15:12:58,Rotterdam,Kuala Lumpur,NL,MY,87.91,505.0,1.05,Air,Van den Bosch Transporten,5.129980000000001
SHP27591,2019-07-10 23:10:37,Rotterdam,Kuala Lumpur,NL,MY,87.4,350.0,1.05,Air,Van den Bosch Transporten,5.265280000000001
SHP135607,2020-05-01 07:56:21,Rotterdam,Kuala Lumpur,NL,MY,94.88,54.0,0.75,Air,NTG Air & Ocean,5.41725
SHP589571,2019-03-06 23:56:42,Rotterdam,Kuala Lumpur,NL,MY,92.85,1506.0,0.75,Air,NTG Air & Ocean,5.05903
SHP524605,2019-12-23 14:15:41,Rotterdam,Kuala Lumpur,NL,MY,94.45,5010.0,0.9,Ocean,Neele-Vat Logistics,20.30336
SHP132605,2019-12-08 17:32:15,Rotterdam,Kuala Lumpur,NL,MY,91.61,350.0,0.9,Ocean,Neele-Vat Logistics,31.6684
SHP958582,2019-05-16 16:29:11,Rotterdam,Kuala Lumpur,NL,MY,90.25,1206.0,0.9,Ocean,Neele-Vat Logistics,31.23044
SHP637593,2019-07-26 22:53:10,Rotterdam,Kuala Lumpur,NL,MY,85.0,2408.0,0.9,Ocean,Neele-Vat Logistics,33.89699
SHP820573,2019-03-17 06:13:18,Rotterdam,Kuala Lumpur,NL,MY,91.66,605.0,0.9,Ocean,Neele-Vat Logistics,16.953470000000003
SHP958605,2020-01-15 11:16:01,Rotterdam,Kuala Lumpur,NL,MY,93.45,3221.0,0.9,Ocean,Neele-Vat Logistics,29.055670000000003
SHP80605,2019-12-05 18:39:05,Rotterdam,Kuala Lumpur,NL,MY,91.86,505.0,0.9,Ocean,Neele-Vat Logistics,32.13252
SHP714594,2019-08-04 15:14:29,Rotterdam,Kuala Lumpur,NL,MY,85.85,55.0,0.9,Ocean,Neele-Vat Logistics,30.71169
SHP288605,2019-12-14 12:34:05,Rotterdam,Kuala Lumpur,NL,MY,92.66,300.0,0.9,Ocean,Neele-Vat Logistics,29.5978
SHP800603,2019-10-06 14:34:19,Rotterdam,Kuala Lumpur,NL,MY,87.52,998.0,1.05,Air,Van den Bosch Transporten,5.20394
SHP265586,2019-06-08 10:55:50,Rotterdam,Kuala Lumpur,NL,MY,87.98,62.0,0.75,Air,NTG Air & Ocean,5.35648
SHP340606,2020-02-11 13:55:54,Rotterdam,Kuala Lumpur,NL,MY,93.10431525,3158.5,0.9,Ocean,Neele-Vat Logistics,30.16597
SHP374574,2019-03-21 09:05:39,Rotterdam,Kuala Lumpur,NL,MY,90.64,355.0,0.75,Air,NTG Air & Ocean,5.004169999999999
SHP693585,2019-06-03 13:38:38,Rotterdam,Kuala Lumpur,NL,MY,87.89,610.0,0.9,Ocean,Neele-Vat Logistics,20.04606
SHP333604,2019-10-28 16:06:37,Rotterdam,Kuala Lumpur,NL,MY,91.96,1006.0,0.75,Air,NTG Air & Ocean,5.10764
SHP526605,2019-12-23 15:26:51,Rotterdam,Kuala Lumpur,NL,MY,94.45,10000.0,0.9,Ocean,Neele-Vat Logistics,10.79757
SHP852605,2020-01-10 06:37:43,Rotterdam,Kuala Lumpur,NL,MY,92.15454607,700.0,0.75,Air,NTG Air & Ocean,5.10162
SHP65606,2020-01-21 10:02:56,Rotterdam,Kuala Lumpur,NL,MY,92.65,755.0,1.05,Air,Van den Bosch Transporten,5.33634
SHP5612004,2019-10-22 11:04:48,Rotterdam,Manila,NL,PH,107.5,53.0,0.5625,Ocean,Van den Bosch Transporten,25.58519
SHP823595,2019-08-11 19:01:59,Rotterdam,Kuala Lumpur,NL,MY,83.55,3665.0,0.9,Ocean,Neele-Vat Logistics,12.29155
SHP660603,2019-09-29 11:56:15,Rotterdam,Kuala Lumpur,NL,MY,88.75,150.0,0.75,Air,NTG Air & Ocean,5.23854
SHP121603,2019-09-24 08:14:52,Rotterdam,Kuala Lumpur,NL,MY,88.58,710.0,1.05,Air,Van den Bosch Transporten,5.28611
SHP482590,2019-07-06 21:02:43,Rotterdam,Kuala Lumpur,NL,MY,87.88347395,2008.0,0.75,Air,NTG Air & Ocean,5.10741
SHP3735014,2020-03-14 12:59:48,Rotterdam,Manila,NL,PH,108.5,168.0,0.5625,Ocean,Van den Bosch Transporten,14.864579999999998
SHP473602,2019-09-20 09:00:33,Rotterdam,Kuala Lumpur,NL,MY,88.77,350.0,0.75,Air,NTG Air & Ocean,5.18727
SHP36605,2019-12-02 15:39:35,Rotterdam,Kuala Lumpur,NL,MY,92.7,114.0,0.75,Air,NTG Air & Ocean,5.22755
SHP226573,2019-03-14 10:55:32,Rotterdam,Kuala Lumpur,NL,MY,93.28,115.0,0.9,Ocean,Neele-Vat Logistics,28.91343
SHP962584,2019-05-27 23:43:05,Rotterdam,Kuala Lumpur,NL,MY,89.15,455.0,1.05,Air,Van den Bosch Transporten,5.06354
SHP668602,2019-09-20 17:55:13,Rotterdam,Kuala Lumpur,NL,MY,88.05,605.0,0.9,Ocean,Neele-Vat Logistics,11.82789
SHP187592,2019-07-18 10:37:13,Rotterdam,Kuala Lumpur,NL,MY,85.6,1500.0,0.9,Ocean,Neele-Vat Logistics,18.78623
SHP614583,2019-05-20 09:16:08,Rotterdam,Kuala Lumpur,NL,MY,90.4349,945.9,0.9,Ocean,Neele-Vat Logistics,8.22315
SHP328594,2019-08-01 15:52:07,Rotterdam,Kuala Lumpur,NL,MY,85.65,1506.0,0.9,Ocean,Neele-Vat Logistics,20.97303
SHP420585,2019-06-01 09:20:38,Rotterdam,Kuala Lumpur,NL,MY,88.88,1025.0,1.05,Air,Van den Bosch Transporten,5.027430000000001
SHP44607,2020-04-24 19:06:26,Rotterdam,Kuala Lumpur,NL,MY,94.8,2000.0,0.75,Air,NTG Air & Ocean,5.18472
SHP409582,2019-05-13 14:59:58,Rotterdam,Kuala Lumpur,NL,MY,89.34,200.0,1.05,Air,Van den Bosch Transporten,5.40764
SHP272582,2019-05-12 21:38:28,Rotterdam,Kuala Lumpur,NL,MY,89.91,1156.0,1.05,Air,Van den Bosch Transporten,5.32037
SHP377587,2019-06-14 13:44:27,Rotterdam,Kuala Lumpur,NL,MY,86.81,500.0,0.9,Ocean,Neele-Vat Logistics,30.08646
SHP782579,2019-04-25 15:45:04,Rotterdam,Kuala Lumpur,NL,MY,90.5,280.0,1.05,Air,Van den Bosch Transporten,5.21481
SHP452606,2020-02-20 10:52:03,Rotterdam,Kuala Lumpur,NL,MY,91.52,100.0,1.05,Air,Van den Bosch Transporten,5.1794
SHP859603,2019-10-10 10:43:40,Rotterdam,Kuala Lumpur,NL,MY,86.3,1750.0,0.9,Ocean,Neele-Vat Logistics,18.83102
SHP295607,2020-05-17 16:28:01,Rotterdam,Kuala Lumpur,NL,MY,92.91,220.19,0.75,Air,NTG Air & Ocean,5.06759
SHP463585,2019-06-01 12:59:35,Rotterdam,Kuala Lumpur,NL,MY,87.8,4410.0,0.9,Ocean,Neele-Vat Logistics,19.77477
SHP482593,2019-07-26 08:43:10,Rotterdam,Kuala Lumpur,NL,MY,85.87206653,655.0,0.75,Air,NTG Air & Ocean,5.31088
SHP574604,2019-11-10 14:04:36,Rotterdam,Kuala Lumpur,NL,MY,91.84,555.0,0.75,Air,NTG Air & Ocean,5.31192
SHP56605,2019-12-04 11:54:32,Rotterdam,Kuala Lumpur,NL,MY,91.8,170.0,0.9,Ocean,Neele-Vat Logistics,9.32315
SHP8585,2019-05-28 12:54:36,Rotterdam,Kuala Lumpur,NL,MY,89.73,1456.0,0.75,Air,NTG Air & Ocean,5.02396
SHP728606,2020-03-19 12:01:58,Rotterdam,Kuala Lumpur,NL,MY,96.58755788,3008.5,0.9,Ocean,Neele-Vat Logistics,29.37477
SHP450589,2019-06-29 08:55:00,Rotterdam,Kuala Lumpur,NL,MY,87.0,1500.0,1.05,Air,Van den Bosch Transporten,5.33947
SHP142604,2019-10-21 15:33:45,Rotterdam,Kuala Lumpur,NL,MY,89.72,1125.0,0.75,Air,NTG Air & Ocean,5.0353
SHP663591,2019-07-14 12:24:30,Rotterdam,Kuala Lumpur,NL,MY,85.98,826.0,0.75,Air,NTG Air & Ocean,5.22581
SHP327586,2019-06-08 14:22:26,Rotterdam,Kuala Lumpur,NL,MY,87.75,119.0,1.05,Air,Van den Bosch Transporten,5.17986
SHP114603,2019-09-23 18:05:53,Rotterdam,Kuala Lumpur,NL,MY,88.44,575.0,0.9,Ocean,Neele-Vat Logistics,31.90197
SHP489607,2020-06-12 08:23:58,Rotterdam,Kuala Lumpur,NL,MY,93.5,2007.0,1.05,Air,Van den Bosch Transporten,5.21933
SHP352604,2019-10-29 18:14:30,Rotterdam,Kuala Lumpur,NL,MY,91.9,2758.0,0.9,Ocean,Neele-Vat Logistics,31.96181
SHP449606,2020-02-19 15:58:22,Rotterdam,Kuala Lumpur,NL,MY,91.62,110.0,1.05,Air,Van den Bosch Transporten,5.29271
SHP651605,2019-12-28 20:36:13,Rotterdam,Kuala Lumpur,NL,MY,92.39,1708.0,0.75,Air,NTG Air & Ocean,5.03472
SHP840605,2020-01-09 16:32:43,Rotterdam,Kuala Lumpur,NL,MY,93.87079613,327.0,0.75,Air,NTG Air & Ocean,5.23137
SHP256601,2019-09-13 13:26:15,Rotterdam,Kuala Lumpur,NL,MY,86.83,605.0,1.05,Air,Van den Bosch Transporten,5.15822
SHP480590,2019-07-06 20:52:11,Rotterdam,Kuala Lumpur,NL,MY,87.4,455.0,1.05,Air,Van den Bosch Transporten,5.39363
SHP496605,2019-12-22 15:13:34,Rotterdam,Kuala Lumpur,NL,MY,92.9,436.0,0.9,Ocean,Neele-Vat Logistics,20.70532
SHP260604,2019-10-26 12:49:07,Rotterdam,Kuala Lumpur,NL,MY,90.65,1006.0,0.9,Ocean,Neele-Vat Logistics,19.7022
SHP432605,2019-12-20 00:11:41,Rotterdam,Kuala Lumpur,NL,MY,93.34,1000.0,0.75,Air,NTG Air & Ocean,5.14815
SHP19589,2019-06-25 12:08:02,Rotterdam,Kuala Lumpur,NL,MY,87.4,505.0,0.9,Ocean,Neele-Vat Logistics,19.4169
SHP7547001,2019-09-08 10:21:30,Rotterdam,Manila,NL,PH,103.05,303.0,0.5625,Ocean,Van den Bosch Transporten,45.79444
SHP358581,2019-05-08 15:02:23,Rotterdam,Kuala Lumpur,NL,MY,90.32,1120.0,0.75,Air,NTG Air & Ocean,5.31088
SHP842604,2019-11-22 13:39:14,Rotterdam,Kuala Lumpur,NL,MY,91.7272682,1000.0,0.75,Air,NTG Air & Ocean,5.0237300000000005
SHP981581,2019-05-11 15:46:49,Rotterdam,Kuala Lumpur,NL,MY,90.69272295,235.0,0.75,Air,NTG Air & Ocean,5.089580000000001
SHP278596,2019-08-13 18:53:05,Rotterdam,Kuala Lumpur,NL,MY,84.2,8010.0,0.9,Ocean,Neele-Vat Logistics,12.22975
SHP855595,2019-08-12 11:17:27,Rotterdam,Kuala Lumpur,NL,MY,83.41,200.0,0.9,Ocean,Neele-Vat Logistics,29.065620000000003
SHP290605,2019-12-14 12:56:28,Rotterdam,Kuala Lumpur,NL,MY,92.85,2500.0,0.9,Ocean,Neele-Vat Logistics,19.75324
SHP826605,2020-01-09 12:04:26,Rotterdam,Kuala Lumpur,NL,MY,93.52231084,355.0,0.9,Ocean,Neele-Vat Logistics,19.3919
SHP858604,2019-11-23 00:42:37,Rotterdam,Kuala Lumpur,NL,MY,91.55,806.0,0.9,Ocean,Neele-Vat Logistics,34.657059999999994
SHP838595,2019-08-12 10:28:06,Rotterdam,Kuala Lumpur,NL,MY,83.85,505.0,1.05,Air,Van den Bosch Transporten,5.21111
SHP899603,2019-10-11 12:56:52,Rotterdam,Kuala Lumpur,NL,MY,86.81998475,930.0,0.75,Air,NTG Air & Ocean,5.30486
SHP615606,2020-03-12 17:18:27,Rotterdam,Kuala Lumpur,NL,MY,92.1,2208.5,0.9,Ocean,Neele-Vat Logistics,21.57257
SHP659605,2019-12-29 10:48:03,Rotterdam,Kuala Lumpur,NL,MY,92.7918,445.0,0.9,Ocean,Neele-Vat Logistics,8.861460000000001
SHP518604,2019-11-07 18:04:28,Rotterdam,Kuala Lumpur,NL,MY,90.26,300.0,0.9,Ocean,Neele-Vat Logistics,11.89213
SHP69582,2019-05-12 09:24:55,Rotterdam,Kuala Lumpur,NL,MY,90.4346,10000.0,0.9,Ocean,Neele-Vat Logistics,8.28403
SHP147606,2020-01-27 17:40:46,Rotterdam,Kuala Lumpur,NL,MY,92.45,225.0,0.9,Ocean,Neele-Vat Logistics,21.72755
SHP658577,2019-04-12 16:43:24,Rotterdam,Kuala Lumpur,NL,MY,89.65,60.0,0.75,Air,NTG Air & Ocean,5.26065
SHP353580,2019-04-29 22:27:04,Rotterdam,Kuala Lumpur,NL,MY,89.41,700.0,1.05,Air,Van den Bosch Transporten,5.18796
SHP180607,2020-05-06 15:22:36,Rotterdam,Kuala Lumpur,NL,MY,93.79,540.0,0.9,Ocean,Neele-Vat Logistics,10.76806
SHP827584,2019-05-27 09:37:53,Rotterdam,Kuala Lumpur,NL,MY,89.53542270000001,1126.0,1.05,Air,Van den Bosch Transporten,5.32639
SHP1533005,2019-10-28 21:13:25,Rotterdam,Manila,NL,PH,109.95,94.0,0.5625,Ocean,Van den Bosch Transporten,32.10961
SHP24580,2019-04-26 21:18:32,Rotterdam,Kuala Lumpur,NL,MY,90.85,832.9,0.75,Air,NTG Air & Ocean,5.35428
SHP846606,2020-04-04 14:55:02,Rotterdam,Kuala Lumpur,NL,MY,89.48452482,800.0,1.05,Air,Van den Bosch Transporten,5.15197
